Course Number,Course Abbreviation,Course Full Title,# of Credit Hours,Description,LA Common Course Number,Institution,Satellite Campus,Modality,Restricted (specify criteria),Corresponding HS Course Number,General Ed Course (Yes/No),Course Prerequisite,Cost per Course
114,MATH,Finite Math,3,"Systems of linear equations, matices, and matrix algebra; linear inequalities; linear programming; counting techniques; permutations and combinations; probability; basic concepts in financial mathematics (annuities included); and an introduction to statistics. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1313: Finite Mathematics.",CMAT 1313,BPCC,,online,,,Yes,MATH 102,250
114,MATH,Finite Math ,3,"Systems of linear equations, matices, and matrix algebra; linear inequalities; linear programming; counting techniques; permutations and combinations; probability; basic concepts in financial mathematics (annuities included); and an introduction to statistics. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1313: Finite Mathematics.",CMAT 1313,BPCC,,On Campus,,,Yes,MATH 102,250
221,HLPE,First Aid ,3,"Lectures, discussion, and practical demonstrations of first aid.",,BPCC,,,,,,,170
221,HLPE,First Aid ,3,"Lectures, discussion, and practical demonstrations of first aid.",,BPCC,,online,,,,,170
101,SCI,Foundations in Science I ,3,A survey course in physics and the physical sciences for non-science majors. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1023: Physical Science I.,CPHY 1023,BPCC,,On Campus,,Physical Science,Yes,,150
101,SCI,Foundations in Science I ,3,A survey course in physics and the physical sciences for non-science majors. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1023: Physical Science I.,CPHY 1023,BPCC,,online,,Physical Science,Yes,,150
102,SCI,Foundations in Science II ,3,A continuation of the survey of physical sciences for non-science majors including topics in chemistry and geology. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1033: Physical Science II,CPHY 1033,BPCC,,On Campus,,,Yes,,150
102,SCI,Foundations in Science II ,3,A continuation of the survey of physical sciences for non-science majors including topics in chemistry and geology. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1033: Physical Science II,CPHY 1033,BPCC,,online,,,Yes,,150
101,CDYC,Foundations of Erly Chldhd Dev ,3,"This course provides an overview of Early Childhood, including personal and professional growth and development, ethical standards, learning theories, principles of child development and learning, developmentally appropriate practices, working with families, and current issues and trends in Early Childhood Education.",,BPCC,,,,,,,150
101,CDYC,Foundations of Erly Chldhd Dev ,3,"This course provides an overview of Early Childhood, including personal and professional growth and development, ethical standards, learning theories, principles of child development and learning, developmentally appropriate practices, working with families, and current issues and trends in Early Childhood Education.",,BPCC,,,,,,,150
99,ENGL,Fundamentals of Composition,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,225
99,ENGL,Fundamentals of Composition ,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,online,,,,,225
99,ENGL,Fundamentals of Composition,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,150
105,BADM,Gen. Business Administration ,3,"A survey of business, introducing the major operations of a business, including production, marketing, finance, and management. The course also examines the economic, social, and political environment of business and prepares the student for further collegiate education in business. The Louisiana Statewide Common Course Catalog name and number for this course are CBUS 1003: General/Intro to Business Administration.",CBUS 1003,BPCC,,On Campus,,,Yes,,250
105,BADM,Gen. Business Administration ,3,"A survey of business, introducing the major operations of a business, including production, marketing, finance, and management. The course also examines the economic, social, and political environment of business and prepares the student for further collegiate education in business. The Louisiana Statewide Common Course Catalog name and number for this course are CBUS 1003: General/Intro to Business Administration.",CBUS 1003,BPCC,,online,,,Yes,,250
101L,BLGY,General Biology I Lab,1,Laboratory designed to supplement General Biology I for science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1031: General Biology I Lab (Science Majors).,CBIO 1031,BPCC,,On Campus,,,Yes,BLGY 101,86
101L,BLGY,General Biology I Lab,1,Laboratory designed to supplement General Biology I for science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1031: General Biology I Lab (Science Majors).,CBIO 1031,BPCC,,On Campus,,,Yes,BLGY 101,50
101,BLGY,General Biology I ,3,"Introduction to the principles of biology for the science major. Topics include a history of biology, scientific method, general concepts and principles of biological molecules, cell structure and function, photosynthesis, cell respiration, cell reproduction, genetics, evolution and ecology. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1033: General Biology I (Science Majors).",CBIO 1033,BPCC,,online,,Biology/ Science,Yes,,245
101,BLGY,General Biology I ,3,"Introduction to the principles of biology for the science major. Topics include a history of biology, scientific method, general concepts and principles of biological molecules, cell structure and function, photosynthesis, cell respiration, cell reproduction, genetics, evolution and ecology. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1033: General Biology I (Science Majors).",CBIO 1033,BPCC,,On Campus,,Biology/ Science,Yes,,245
102,BLGY,General Biology II ,3,"A sequence course for science majors to BLGY 101. The course topics include general concepts and principles of ecology, evolution and classification, biological diversity, and the anatomy and physiology of plants and animals. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1043: General Biology II (Science Majors).",CBIO 1043,BPCC,,On Campus,,Biology/ Science,Yes,BLGY 101,150
102L,BLGY,General Biology II Lab,1,Laboratory designed to supplement General Biology II for science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1041: General BIology II Lab (Science Majors).,CBIO 1041,BPCC,,On Campus,,,Yes,BLGY 101,86
101,CHEM,General Chemistry I,3,"It is strongly suggested that students should have completed a high school chemistry course or CHEM 107. This course provides the student with the fundamental skills and knowledge required for a continued study of chemistry and the related sciences. Topics to be covered include nomenclature, atomic and molecular structure, chemical equations, stoichiometry, gas laws, bonding, energy relationships, solutions, and quantitative problem solving. Science majors will schedule the CHEM 101, CHEM 101L CHEM 102 CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1123: Chemistry I (Science Majors).",CCEM 1123,BPCC,,On Campus,,Chemistry/Science,Yes,MATH 102,225
101,CHEM,General Chemistry I,3,"It is strongly suggested that students should have completed a high school chemistry course or CHEM 107. This course provides the student with the fundamental skills and knowledge required for a continued study of chemistry and the related sciences. Topics to be covered include nomenclature, atomic and molecular structure, chemical equations, stoichiometry, gas laws, bonding, energy relationships, solutions, and quantitative problem solving. Science majors will schedule the CHEM 101, CHEM 101L CHEM 102 CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1123: Chemistry I (Science Majors).",CCEM 1123,BPCC,,On Campus,,Chemistry/Science,Yes,MATH 102,150
101L,CHEM,General Chemistry I Lab ,1,"This course is designed to provide the students with laboratory skills and knowledge required for a continued study of chemistry and related sciences. Content supports topics in CHEM 101 (Science majors), including safety and basic laboratory techniques to include data collection and interpretation and introduction to laboratory reporting and record keeping. Withdrawal from lecture mandates withdrawal from laboratory. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L  sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1121: Chemistry I Lab (Science Majors).",CCEM 1121,BPCC,,BPCC Campus,,,Yes,CHEM 101,86
101L,CHEM,General Chemistry I Lab ,1,"This course is designed to provide the students with laboratory skills and knowledge required for a continued study of chemistry and related sciences. Content supports topics in CHEM 101 (Science majors), including safety and basic laboratory techniques to include data collection and interpretation and introduction to laboratory reporting and record keeping. Withdrawal from lecture mandates withdrawal from laboratory. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L  sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1121: Chemistry I Lab (Science Majors).",CCEM 1121,BPCC,,On Campus,,,Yes,CHEM 101,50
102,CHEM,General Chemistry II,3,"This course will provide the student with a continuing study of chemistry concepts by building on concepts covered in CHEM 101. Topics include intermolecular forces, thermodynamics, general and heterogenous equilibrium, kinetics, solutions, acid/base equilibrium and properties, and electrochemistry. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1133: Chemistry II (Science Majors).",CCEM 1133,BPCC,,BPCC Campus,,Chemistry/Science,Yes,CHEM 101,188
109,ALHT,Health Care Systems & Safety ,2,"A course of study designed to introduce students entering the healthcare fields to the health care delivery systems, cultural diversity, employment skills, workplace and general safety issues, emergency preparedness, infection control; OSHA, HIPAA, and current standards for BLS for healthcare providers.",,BPCC,,,,,,,146
109,ALHT,Health Care Systems & Safety ,2,"A course of study designed to introduce students entering the healthcare fields to the health care delivery systems, cultural diversity, employment skills, workplace and general safety issues, emergency preparedness, infection control; OSHA, HIPAA, and current standards for BLS for healthcare providers.",,BPCC,,online,,,,,146
109,ALHT,Health Care Systems & Safety ,2,"A course of study designed to introduce students entering the healthcare fields to the health care delivery systems, cultural diversity, employment skills, workplace and general safety issues, emergency preparedness, infection control; OSHA, HIPAA, and current standards for BLS for healthcare providers.",,BPCC,,,,,,,100
130,CTEC,HTML5/CSS3 ,3,"HTML5 is changing the way web pages are developed. In this course, we will look at how using HTML5 semantic tags make it easier to develop web pages and format them with CSS3. These tags work to improve user accessibility and allow greater search engine returns.",,BPCC,,online,,,,,150
130,CTEC,HTML5/CSS3 ,3,"HTML5 is changing the way web pages are developed. In this course, we will look at how using HTML5 semantic tags make it easier to develop web pages and format them with CSS3. These tags work to improve user accessibility and allow greater search engine returns.",,BPCC,,,,,,,150
230,BLGY,Human Anatomy & Physiology I ,3,"A study of anatomy and physiology of the human body. Topics include cells, tissues, integumentary, skeletal, muscular, and nervous systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2213: Human Anatomy and Physiology I",CBIO 2213,BPCC,,On Campus,,Biology/Science,Yes,ENGL 099 OR PLACEMENT INTO ENGL 101,150
230,BLGY,Human Anatomy & Physiology I ,3,"A study of anatomy and physiology of the human body. Topics include cells, tissues, integumentary, skeletal, muscular, and nervous systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2213: Human Anatomy and Physiology I",CBIO 2213,BPCC,,online,,Biology/Science,Yes,ENGL 099 OR PLACEMENT INTO ENGL 101,270
230L,BLGY,Human Anatomy & Physiology I Lab,1,"Laboratory exercises to reinforce lecture topics through the use of microscopes, microscope slides, posters, diagrams, and models with an emphasis on critical thinking and application. Withdrawal from the lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2211: Human Anatomy and Physiology I Lab.",CBIO 2211,BPCC,,online,,,Yes,BLGY 230,101
230L,BLGY,Human Anatomy & Physiology I Lab ,1,"Laboratory exercises to reinforce lecture topics through the use of microscopes, microscope slides, posters, diagrams, and models with an emphasis on critical thinking and application. Withdrawal from the lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2211: Human Anatomy and Physiology I Lab.",CBIO 2211,BPCC,,On Campus,,,Yes,BLGY 230,101
231,BLGY,Human Anatomy & Physiology II ,3,"A study of the anatomy and physiology of the human body. Topics include autonomic nervous, endocrine, circulatory, respiratory, lymphatic, digestive, urinary, and reproductive systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2223: Human Anatomy and Physiology II.",CBIO 2223,BPCC,,On Campus,,Biology/Science,Yes,BLGY 230,270
231,BLGY,Human Anatomy & Physiology II ,3,"A study of the anatomy and physiology of the human body. Topics include autonomic nervous, endocrine, circulatory, respiratory, lymphatic, digestive, urinary, and reproductive systems. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2223: Human Anatomy and Physiology II.",CBIO 2223,BPCC,,online,,Biology/Science,Yes,BLGY 230,270
231L,BLGY,Human Anatomy & Physiology II Lab ,1,This course includes laboratory exercises to accompany and reinforce BLGY 231 lecture concepts. Withdrawal from lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2221: Human Anatomy and Physiology II Lab.,CBIO 2221,BPCC,,online,,,Yes,BLGY 231,101
231L,BLGY,Human Anatomy & Physiology II Lab ,1,This course includes laboratory exercises to accompany and reinforce BLGY 231 lecture concepts. Withdrawal from lecture mandates withdrawal from lab. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2221: Human Anatomy and Physiology II Lab.,CBIO 2221,BPCC,,On Campus,,,Yes,BLGY 231,101
101,CTEC,Information Technology Principles,3,"Overview of Information Technology concepts including hardware components, operating system and application software, network connectivity, and security principles. Includes preparation for CompTIA’s IT Fundamentals Certification.",,BPCC,,,,,,,304
101,CTEC,Information Technology Principles,3,"Overview of Information Technology concepts including hardware components, operating system and application software, network connectivity, and security principles. Includes preparation for CompTIA’s IT Fundamentals Certification.",,BPCC,,online,,,,,304
115,SPCH,Interpersonal Communication ,3,"The study of the communication process in one-to-one relationships with emphasis on conflict management, listening, nonverbal communication, gender, and culture. The Louisiana Statewide Common Course Catalog name and number for this course are CCOM 2213: Interpersonal Communication.",CCOM 2213,BPCC,,online,,,Yes,,150
115,SPCH,Interpersonal Communication ,3,"The study of the communication process in one-to-one relationships with emphasis on conflict management, listening, nonverbal communication, gender, and culture. The Louisiana Statewide Common Course Catalog name and number for this course are CCOM 2213: Interpersonal Communication.",CCOM 2213,BPCC,,On Campus,,,Yes,,150
205,ACCT,Intro Financial Accounting ,3,"Introduction to accounting and financial reporting concepts and the significance of financial accounting information in decision-making. Emphasis on the accounting cycle; assets, liabilities, and stockholders’ equity; and preparation of financial statements. The Louisiana Statewide Common Course Catalog name and number for this course are CACC 2113: Intro to Financial Accounting.  ",CACC 2113,BPCC,,On Campus,,,Yes,,221
205,ACCT,Intro Financial Accounting ,3,"Introduction to accounting and financial reporting concepts and the significance of financial accounting information in decision-making. Emphasis on the accounting cycle; assets, liabilities, and stockholders’ equity; and preparation of financial statements. The Louisiana Statewide Common Course Catalog name and number for this course are CACC 2113: Intro to Financial Accounting.  ",CACC 2113,BPCC,,On Campus,,,Yes,,150
205,ACCT,Intro Financial Accounting ,3,"Introduction to accounting and financial reporting concepts and the significance of financial accounting information in decision-making. Emphasis on the accounting cycle; assets, liabilities, and stockholders’ equity; and preparation of financial statements. The Louisiana Statewide Common Course Catalog name and number for this course are CACC 2113: Intro to Financial Accounting.  ",CACC 2113,BPCC,,online,,,Yes,,221
120,BLGY,Intro Human Anatomy & Physiology,3,"This course is a survey of the structure and function of the organ systems of the human body preceded by a brief consideration of anatomical terminology, cell structure, physiology, and the microscopic structure of tissues.",,BPCC,,,,,,,150
120,BLGY,Intro Human Anatomy & Physiology,3,"This course is a survey of the structure and function of the organ systems of the human body preceded by a brief consideration of anatomical terminology, cell structure, physiology, and the microscopic structure of tissues.",,BPCC,,online,,,,,150
206,ACCT,Intro Managerial Accounting ,3,"Introduction to managerial accounting theory, tools and concepts, with emphasis on the techniques used to provide information for internal management decisions. The Louisiana Statewide Common Course Catalog name and number for this course are CACC 2213: Intro to Managerial Accounting.",CACC 2213,BPCC,,On Campus,,,Yes,ACCT 205,241
206,ACCT,Intro Managerial Accounting ,3,"Introduction to managerial accounting theory, tools and concepts, with emphasis on the techniques used to provide information for internal management decisions. The Louisiana Statewide Common Course Catalog name and number for this course are CACC 2213: Intro to Managerial Accounting.",CACC 2213,BPCC,,online,,,Yes,ACCT 205,241
143,TEED,Intro to Computer Drafting ,3,"A fundamental course in the use of computer systems to assist in the creation, modification, analysis, or optimization of an engineering design. Major topics include starting AutoCAD, working with drawing files, and creating and editing multi-view drawings with AutoCAD software.",,BPCC,,,,,,,287
143,TEED,Intro to Computer Drafting ,3,"A fundamental course in the use of computer systems to assist in the creation, modification, analysis, or optimization of an engineering design. Major topics include starting AutoCAD, working with drawing files, and creating and editing multi-view drawings with AutoCAD software.",,BPCC,,online,,,,,287
108,CTEC,Intro to Management Information Systems,3,"This course examines information systems and the management of organizations.  Topics include competitive advantage, data management, ethics, security, customer relationship management (CRM), supply chain management (SCM), enterprise resource planning (ERP), and other information technology content.",,BPCC,,online,,,,,250
150,CTEC,Intro to Programming with JAVA ,3,"The design, coding, testing, and documenting of programs in a specific high-level object-oriented programming language using techniques of good programming style. The programming concepts emphasized include data types, control structures, procedural abstraction, decomposition, encapsulation, inheritance, polymorphism, software reuse, and basic algorithms.",,BPCC,,,,,,CTEC 102,150
150,CTEC,Intro to Programming with JAVA ,3,"The design, coding, testing, and documenting of programs in a specific high-level object-oriented programming language using techniques of good programming style. The programming concepts emphasized include data types, control structures, procedural abstraction, decomposition, encapsulation, inheritance, polymorphism, software reuse, and basic algorithms.",,BPCC,,,,,,CTEC 102,150
150,CTEC,Intro to Programming with JAVA ,3,"The design, coding, testing, and documenting of programs in a specific high-level object-oriented programming language using techniques of good programming style. The programming concepts emphasized include data types, control structures, procedural abstraction, decomposition, encapsulation, inheritance, polymorphism, software reuse, and basic algorithms.",,BPCC,,online,,,,CTEC 102,150
246,COMM,Introduction to 2D Animation,3,"This course is designed to introduce students to 2D animation techniques, aesthetics, and history. Students will learn to create short animated works using paperless animation software and a digital drawing tablet.",,BPCC,,online,,,,,195
143,TEED,Introduction to Computer Drafing,3,"A fundamental course in the use of computer systems to assist in the creation, modification, analysis, or optimization of an engineering design. Major topics include starting AutoCAD, working with drawing files, and creating and editing multi-view drawings with AutoCAD software.",,BPCC,,,,,,MATH 099,287
101,CJUS,Introduction to Criminal Justice,3,"A historical and contemporary survey of the criminal justice system including law enforcement, courts, corrections, and release agencies as applied to deviant behavior and society. The Louisiana Statewide Common Course Catalog name and number for this course are CCRJ 1013: Intro to Criminal Justice.",CCRJ 1013,BPCC,,BPCC Campus,,,Yes,,220
101,CJUS,Introduction to Criminal Justice ,3,"A historical and contemporary survey of the criminal justice system including law enforcement, courts, corrections, and release agencies as applied to deviant behavior and society. The Louisiana Statewide Common Course Catalog name and number for this course are CCRJ 1013: Intro to Criminal Justice.",CCRJ 1013,BPCC,,online,,,Yes,,220
252,ENGL,Introduction to Folklore & Mythology,3,"This course includes a critical analysis of folklore and myth within the context of literary and storytelling genres as well as a study of their religious, traditional, and indigenous cultural backgrounds. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 2503: Mythology or Folklore.",CENL 2503,BPCC,,online,,,Yes,ENGL 102,150
256,ENGL,Introduction to Poetry and Drama ,3,An introduction to the study and appreciation of plays and poems from the times of the ancient Greeks to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 2313: Intro to Poetry and/or Drama.,CENL 2313,BPCC,,On Campus,,English,Yes,ENGL 102,150
201,PSYC,Introduction to Psychology ,3,"An examination of the nature of psychology, its history, techniques, learning theory, human adjustment, personality, state of consciousness, development, statistics, social, abnormal, and psychological topics. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2013: Intro to Psychology.",CPSY 2013,BPCC,,On Campus,,,Yes,,222
201,PSYC,Introduction to Psychology ,3,"An examination of the nature of psychology, its history, techniques, learning theory, human adjustment, personality, state of consciousness, development, statistics, social, abnormal, and psychological topics. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2013: Intro to Psychology.",CPSY 2013,BPCC,,online,,,Yes,,222
201,PSYC,Introduction to Psychology ,3,"An examination of the nature of psychology, its history, techniques, learning theory, human adjustment, personality, state of consciousness, development, statistics, social, abnormal, and psychological topics. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2013: Intro to Psychology.",CPSY 2013,BPCC,,On Campus,,,Yes,,150
104,CTEC,Introduction to Scripting,3,"This course introduces students to scripting using PowerShell. Students will learn about concepts including execution permissions, commands, pipelining, variables, arrays, scope, split and join operators, breakpoints, and debugging. On a basic level, students will also become familiar with Visual Basic script, BASH, Korn Shell, C shell, PERL, and PHP.",,BPCC,,online,,,,,150
201,SLGY,Introduction to Sociology ,3,"An examination of cultural origins, the social process, and group behavior in relation to the individual and institutions. The Louisiana Statewide Common Course Catalog name and number for this course are CSOC 2013: Intro to Sociology.",CSOC 2013,BPCC,,On Campus,,,Yes,,187
201,SLGY,Introduction to Sociology ,3,"An examination of cultural origins, the social process, and group behavior in relation to the individual and institutions. The Louisiana Statewide Common Course Catalog name and number for this course are CSOC 2013: Intro to Sociology.",CSOC 2013,BPCC,,online,,,Yes,,187
101,THTR,Introduction to Theatre,3,A survey of the basic aspects and vocabulary of theatre both past and present; develop an appreciation and understanding of the artists in the live theatrical experience. The Louisiana Statewide Common Course Catalog name and number for this course are CTHE 1013: Intro to Theatre.,CTHE 1013,BPCC,,online,,Theatre/Art,Yes,,150
165,CTEC,Introduction to Virtualization,3,"This course introduces students to the benefits and drawbacks of virtualization related to performance, maintenance, security, and efficiency. Students will also learn about the different types of virtualization and how it relates to networks, storage, servers, data, desktops, and applications. Students will be introduced to VMware vSphere and Microsoft Hyper-V and learn to create and configure virtual machines.",,BPCC,,,,,,,170
206,ART,Introduction to Visual Arts ,3,"An introduction to the principles of art, various art media, processes, and art history in order to provide a basis for the judgment and understanding of art. The Louisiana Statewide Common Course Catalog name and number for this course are CART 1023: Intro to Visual Arts.",CART 1023,BPCC,,BPCC Campus,,,Yes,,222
206,ART,Introduction to Visual Arts ,3,"An introduction to the principles of art, various art media, processes, and art history in order to provide a basis for the judgment and understanding of art. The Louisiana Statewide Common Course Catalog name and number for this course are CART 1023: Intro to Visual Arts.",CART 1023,BPCC,,online,,,Yes,,222
107,CHEM,Introductory Chemistry ,3,"An introduction to measurement systems, atomic and molecular structure, ionic and covalent bonding, chemical nomenclature, chemical equations and stoichiometry, gas law relationships, quantitative problem solving, an introduction to thermodynamics and energy relationships, solutions and concentrations and fundamentals of nuclear chemistry. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L  sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1103: Chemistry I (Non-Science Majors).",CCEM 1103,BPCC,,On Campus,,Chemistry/Science,Yes,MATH 098,150
107,CHEM,Introductory Chemistry ,3,"An introduction to measurement systems, atomic and molecular structure, ionic and covalent bonding, chemical nomenclature, chemical equations and stoichiometry, gas law relationships, quantitative problem solving, an introduction to thermodynamics and energy relationships, solutions and concentrations and fundamentals of nuclear chemistry. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107 and CHEM 107L  sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1103: Chemistry I (Non-Science Majors).",CCEM 1103,BPCC,,online,,Chemistry/Science,Yes,MATH 098,150
107L,CHEM,Introductory Chemistry Lab,1,"Reinforcing laboratory exercises related to topics in Introductory Chemistry I to include laboratory safety, basic laboratory techniques, including data collection and interpretation, and an introduction to laboratory reporting/record keeping. Withdrawal from lecture mandates withdrawal from laboratory. Science majors will schedule the CHEM 101, CHEM 101L, CHEM 102, and CHEM 102L sequence. Students pursuing a curriculum in nursing or allied health will schedule the CHEM 107  and CHEM 107L sequence. The Louisiana Statewide Common Course Catalog name and number for this course are CCEM 1101: Chemistry I Lab (Non-Science Majors). ",CCEM 1101,BPCC,,On Campus,,,Yes,CHEM 107,150
120,BLGY,Introductory Human Anatomy & Physiology ,3,"This course is a survey of the structure and function of the organ systems of the human body preceded by a brief consideration of anatomical terminology, cell structure, physiology, and the microscopic structure of tissues.",,BPCC,,,,,,,150
120L,BLGY,Introductory Human Anatomy & Physiology Lab ,1,"The laboratory exercises to reinforce a survey of the structure and function of the organ systems of the human body, preceded by a brief consideration of cell structure and physiology, and the microscopic structure of tissues. Withdrawal from lecture mandates withdrawal from laboratory.",,BPCC,,,,,,BLGY 120,101
112,CTEC,IT Hardware Support ,3,"This course covers fundamentals of Computer Technology, installation and configuration of PCs, laptops and related hardware and networking basics. Skills will be covered in installation, configuration, and troubleshooting of computer hardware, printers, and mobile devices. This class, along with CTEC 114  - IT Software Support, will help students gain the skills required for the nationally recognized CompTIA A+ certification exam.",,BPCC,,,,,,,170
