Course Number,Course Abbreviation,Course Full Title,# of Credit Hours,Description,LA Common Course Number,Institution,Satellite Campus,Modality,Restricted (specify criteria),Corresponding HS Course Number,General Ed Course (Yes/No),Course Prerequisite,Cost per Course
112,CTEC,IT Hardware Support ,3,"This course covers fundamentals of Computer Technology, installation and configuration of PCs, laptops and related hardware and networking basics. Skills will be covered in installation, configuration, and troubleshooting of computer hardware, printers, and mobile devices. This class, along with CTEC 114  - IT Software Support, will help students gain the skills required for the nationally recognized CompTIA A+ certification exam.",,BPCC,,online,,,,,170
114,CTEC,IT Software Support,3,"This course covers the fundamentals of supporting Information Technology software. Skills will be covered in the installation and configuration of PC operating systems as well as configuring common features for mobile OS Android, Apple OS, and Windows mobile. The class is conducted in a laboratory setting where hands-on learning is emphasized. This course, along with CTEC 112, will help students gain the skills required for the nationally recognized CompTIA A+ certification exam.",,BPCC,,online,,,,,177
299,CJUS,Juvenile Justice,3,"The history, organization, functions and jurisdiction of juvenile agencies; the processing and detention of juveniles and case dispositions: juvenile statutes and court procedures. The Louisiana Statewide Common Course Catalog name and number for this course are CCRJ 2413: Juvenile Justice and CCRJ 2613: Judicial Process.",CCRJ 2413,BPCC,,online,,,Yes,,214
299,CJUS,Juvenile Justice,3,"The history, organization, functions and jurisdiction of juvenile agencies; the processing and detention of juveniles and case dispositions: juvenile statutes and court procedures. The Louisiana Statewide Common Course Catalog name and number for this course are CCRJ 2413: Juvenile Justice and CCRJ 2613: Judicial Process.",CCRJ 2413,BPCC,,On Campus,,,Yes,,214
101,LSEC,Legal Office Concepts,3,"The first course in legal office concepts introduces students to the legal office environment and the task and duties performed by a legal assistant. Emphasis is placed on legal terminology, office procedures, and formatting legal documents.",,BPCC,,,,,,,150
102,COMM,Live Video Production,3,"This course explores the various aspects of live video productions such as: effective use of video equipment, lighting, continuity, audio production, storyboarding, and field shooting.",,BPCC,,,,,,,170
225,PSYC,Loss and Death ,3,"An intense, personal journey into the world of loss and death. Students will hear guest speakers and go on site visits. Topics on the subject of loss and death will vary from semester and will always include a visit to a funeral home and possibly to the coroner’s office. Students are required to attend each class and asked to share their own experiences. Topics may include, but not limited to, loss through incest, the loss of a child, aging, loss through a fireman’s eyes, and loss through criminal attack.",,BPCC,,online,,,,,222
203,HIST,Louisiana History,3,"A study of the history of Louisiana emphasizing exploration, settlement, development, European domination, and political characteristics up to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2033: Louisiana History.",CHIS 2033,BPCC,,online,,,Yes,,150
203,HIST,Louisiana History,3,"A study of the history of Louisiana emphasizing exploration, settlement, development, European domination, and political characteristics up to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 2033: Louisiana History.",CHIS 2033,BPCC,,On Campus,,,Yes,,150
202,ENGL,Major American Writers ,3,A study of works by significant writers in American literature. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 2173: Major American Writers.,CENL 2173,BPCC,,online,,English,Yes,ENGL 102,219
202,ENGL,Major American Writers ,3,A study of works by significant writers in American literature. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 2173: Major American Writers.,CENL 2173,BPCC,,On Campus,,English,Yes,ENGL 102,219
201,ENGL,Major British Writers ,3,A study of works by significant writers in English literature. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 2123: Major British Writers.,CENL 2123,BPCC,,online,,English,Yes,ENGL 102,150
203,SLGY,Marriage and Family Living,3,"Significant factors for dating, successful marriage, martial adjustment, and family living. The Louisiana Statewide Common Course Catalog name and number for this course are SCOC 2213: Marriage and Family.",SCOC 2213,BPCC,,online,,,No,,150
105,ALHT,Medical Ethics and Law ,3,"Introduces students, in allied health fields, to potential legal and ethical issues which may be experienced in the healthcare environment. Students will discuss the legal system as it applies to the patient, healthcare provider, and medical institution; and review medical ethical and bioethical issues.",,BPCC,,,,,,,222
105,ALHT,Medical Ethics and Law ,3,"Introduces students, in allied health fields, to potential legal and ethical issues which may be experienced in the healthcare environment. Students will discuss the legal system as it applies to the patient, healthcare provider, and medical institution; and review medical ethical and bioethical issues.",,BPCC,,,,,,,150
105,ALHT,Medical Ethics and Law ,3,"Introduces students, in allied health fields, to potential legal and ethical issues which may be experienced in the healthcare environment. Students will discuss the legal system as it applies to the patient, healthcare provider, and medical institution; and review medical ethical and bioethical issues.",,BPCC,,online,,,,,222
110,BLGY,Medical Terminology ,3,"This course is the study of the basic structure of medical terms including prefixes, suffixes, roots, combining forms, plurals, pronunciation, spelling, and definitions. The course introduces students to fundamental concepts in human anatomy and physiology.",,BPCC,,,,,,,222
110,BLGY,Medical Terminology ,3,"This course is the study of the basic structure of medical terms including prefixes, suffixes, roots, combining forms, plurals, pronunciation, spelling, and definitions. The course introduces students to fundamental concepts in human anatomy and physiology.",,BPCC,,,,,,,150
110,BLGY,Medical Terminology ,3,"This course is the study of the basic structure of medical terms including prefixes, suffixes, roots, combining forms, plurals, pronunciation, spelling, and definitions. The course introduces students to fundamental concepts in human anatomy and physiology.",,BPCC,,online,,,,,222
202,BLGY,Microbiology for Nursing & AH ,3,"Principles of microbiology, with emphasis on health and disease. This course covers topics including microbial cell structure and function, control of microbial growth, immunology, and the impact of microbes on human health.&nbsp;The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2113: Microbiology for Nursing & Allied Health.",CBIO 2113,BPCC,,On Campus,,,Yes,ENGL 099 OR PLACEMENT INTO ENGL 101,245
202,BLGY,Microbiology for Nursing & AH ,3,"Principles of microbiology, with emphasis on health and disease. This course covers topics including microbial cell structure and function, control of microbial growth, immunology, and the impact of microbes on human health.&nbsp;The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2113: Microbiology for Nursing & Allied Health.",CBIO 2113,BPCC,,online,,,Yes,ENGL 099 OR PLACEMENT INTO ENGL 101,245
202,BLGY,Microbiology for Nursing & AH ,3,"Principles of microbiology, with emphasis on health and disease. This course covers topics including microbial cell structure and function, control of microbial growth, immunology, and the impact of microbes on human health.&nbsp;The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 2113: Microbiology for Nursing & Allied Health.",CBIO 2113,BPCC,,On Campus,,,Yes,ENGL 099 OR PLACEMENT INTO ENGL 101,245
235,CTEC,Mobile App Development,3,"This course covers the basics of developing dynamic web applications for mobile devices. By the end of this course, students will be able to design, code, test and debug mobile applications.",,BPCC,,,,,,CTEC 151,150
120,MUSC,Music Appreciation ,3,"A cultural course for the general college student with emphasis on basic elements of music, music periods and styles, listening to recorded instrumental and vocal music and live concerts. Course is designed to develop an understanding and enjoyment of music. The Louisiana Statewide Common Course Catalog name and number for this course are CMUS 1013: Music Appreciation.",CMUS 1013,BPCC,,On Campus,,Music/Art,Yes,,227
120,MUSC,Music Appreciation ,3,"A cultural course for the general college student with emphasis on basic elements of music, music periods and styles, listening to recorded instrumental and vocal music and live concerts. Course is designed to develop an understanding and enjoyment of music. The Louisiana Statewide Common Course Catalog name and number for this course are CMUS 1013: Music Appreciation.",CMUS 1013,BPCC,,online,,Music/Art,Yes,,227
122,MUSC,Music Theory I,3,"A study of fundamentals of pitch and rhythmic notation, terminology, scales, and chords, incorporating skills of basic musicianship through analysis and critical study. Course includes primary triads and some four part writing.",,BPCC,,,,,,MUSC 100,150
123,MUSC,Music Theory II ,3,"A study of chord structure and chord progressions from the period of common harmonic practice. Proper voice leading, three or four-part writing is emphasized, along with analysis and composition studies in major and minor keys. Course includes non-chord tones, diatonic sevenths, and dominant sevenths.",,BPCC,,,,,,MUSC 122 AND MUSC 112,150
240,CJUS,Narcotics and Dangerous Drugs ,3,Surveys the historical and current usage of narcotics and dangerous drugs. Teaches the identification and classification of such drugs and emphasizes the symptoms and effects on their users. Examines investigative methods and procedures utilized in law enforcement efforts against illicit drug use.,,BPCC,,online,,,,,150
201,POSC,National Government in US ,3,"Principles, structure, and function of the national government of the United States. The Louisiana Statewide Common Course Catalog name and number for this course are CPOL 2013: Intro to American Govt).",CPOL 2013,BPCC,,online,,Govenrment/Social Studies,Yes,,150
155,CTEC,Network Essentials ,3,"Develop fundamental networking skills including an understanding of network hardware, installation, security and troubleshooting in a corporate environment. Through classroom and hands-on activities, learn how computers exchange information and how the Internet functions. In addition, this class will help students gain the skills required for the nationally recognized CompTIA Network+ certification exam.",,BPCC,,,,,,,170
155,CTEC,Network Essentials ,3,"Develop fundamental networking skills including an understanding of network hardware, installation, security and troubleshooting in a corporate environment. Through classroom and hands-on activities, learn how computers exchange information and how the Internet functions. In addition, this class will help students gain the skills required for the nationally recognized CompTIA Network+ certification exam.",,BPCC,,,,,,,150
155,CTEC,Network Essentials ,3,"Develop fundamental networking skills including an understanding of network hardware, installation, security and troubleshooting in a corporate environment. Through classroom and hands-on activities, learn how computers exchange information and how the Internet functions. In addition, this class will help students gain the skills required for the nationally recognized CompTIA Network+ certification exam.",,BPCC,,online,,,,,170
201,RLGN,New Testament Survey I,3,"A study of the history, literature, and developing concepts and institutions of the interbiblical period as a background to the study of the history, contents, and major teachings of the four gospels.",,BPCC,,,,,,,150
203,ART,Painting I ,3,"Introduction to painting principles, composition, and color. Explores the two- dimensional surface with basic problems, lectures, critiques, and visual presentations.",,BPCC,,,,,,,170
204,ART,Painting II ,3,Continuation of Painting I with an emphasis on independent investigation of the two- dimensional surface and materials. Emphasis on problem solving with critiques and lectures.,,BPCC,,,,,,ART 203,170
116,ALHT,Pharm Dosage Cal & Measurement,3,"Proper calculation of medication dosages. The course includes mathematics review, metric system conversions, dosage measurement equipment, drug orders, drug labels, dosage of drugs, methods to calculate dosages, and IV equipment and drip rate calculations.",,BPCC,,,,,,,166
116,ALHT,Pharm Dosage Cal & Measurement ,3,"Proper calculation of medication dosages. The course includes mathematics review, metric system conversions, dosage measurement equipment, drug orders, drug labels, dosage of drugs, methods to calculate dosages, and IV equipment and drip rate calculations.",,BPCC,,,,,,,150
160,COMM,Photography ,3,"This is an introductory course in digital photography which approaches the medium as an art form, a unique means of human communication, and a technical skill. The student is introduced to basic mechanical principles of the camera and how photography has influenced human perception and communication. The student is provided with techniques for responding to the content and structure of photographs. An adjustable digital SLR camera is required.",,BPCC,,,,,,,195
160,COMM,Photography ,3,"This is an introductory course in digital photography which approaches the medium as an art form, a unique means of human communication, and a technical skill. The student is introduced to basic mechanical principles of the camera and how photography has influenced human perception and communication. The student is provided with techniques for responding to the content and structure of photographs. An adjustable digital SLR camera is required.",,BPCC,,,,,,,150
101,GPHY,Physical Geography ,3,"Earth and the solar system, elements of physical geography and basis of natural regionalism, weather and climate, landforms, hydrography, vegetation, soils and minerals. The Louisiana Statewide Common Course Catalog name and number for this course are CGRG 2213: Physical Geography.",CGRG 2213,BPCC,,online,,,Yes,,218
111,PHSC,Physical Geology ,3,"A descriptive, non-mathematical introduction to physical geology. Concepts covered include the dynamic and physical processes of the Earth, with topics to include mineral formation, the rock cycle, volcanoes, earthquakes, weathering, plate tectonics, rivers, and availability and extraction of the Earth’s natural resources. Additional discussions will focus on preserving environmental protection and stewardship in the process of natural resource extraction and usage. The Louisiana Statewide Common Course Catalog name and number for this course are CGEO Physical Geology.",CGEO 1103,BPCC,,online,,Geology/Science,Yes,,150
111,MATH,Precalculus Algebra,3,"A course in precalculus algebra using the graphing calculator. Topics include graphs and functions, quadratic equations and inequalities, theorems about zeroes of polynomial functions, rational functions, inverse functions, exponential and logarithmic functions, systems of equations and inequalities, conics, sequences, series. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1213: College Algebra.",CMAT 1213,BPCC,,On Campus,,Math,Yes,MATH 099,250
111,MATH,Precalculus Algebra ,3,"A course in precalculus algebra using the graphing calculator. Topics include graphs and functions, quadratic equations and inequalities, theorems about zeroes of polynomial functions, rational functions, inverse functions, exponential and logarithmic functions, systems of equations and inequalities, conics, sequences, series. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1213: College Algebra.",CMAT 1213,BPCC,,online,,Math,Yes,MATH 099,250
201,BADM,Principles of Macroeconomics ,3,"An introduction to macroeconomic theory with application of macro principles to problems of unemployment, inflation, economic growth, fiscal policy, and monetary policy. The Louisiana Statewide Common Course Catalog name and number for this course are CECN 2213: Macroeconomics.",CECN 2213,BPCC,,online,,Economics/Social Studies,Yes,,234
201,BADM,Principles of Macroeconomics ,3,"An introduction to macroeconomic theory with application of macro principles to problems of unemployment, inflation, economic growth, fiscal policy, and monetary policy. The Louisiana Statewide Common Course Catalog name and number for this course are CECN 2213: Macroeconomics.",CECN 2213,BPCC,,On Campus,,Economics/Social Studies,Yes,,234
212,BADM,Principles of Management,3,"An introduction to management theory and practice that integrates classical and modern concepts with real-world examples. Emphasizes the evolution of management theory, behavioral theory, organizational theory, and managerial techniques. The Louisiana Statewide Common Course Catalog name and number for this course are CMGM 2103: Principles of Management (Lower Level).",CMGM 2103,BPCC,,On Campus,,,Yes,,230
212,BADM,Principles of Management ,3,"An introduction to management theory and practice that integrates classical and modern concepts with real-world examples. Emphasizes the evolution of management theory, behavioral theory, organizational theory, and managerial techniques. The Louisiana Statewide Common Course Catalog name and number for this course are CMGM 2103: Principles of Management (Lower Level).",CMGM 2103,BPCC,,online,,,Yes,,230
202,BADM,Principles of Microeconomics,3,"An introduction to microeconomics, the study of individual market interactions. Concentration on role of customers and producers in markets for particular goods and services. Topics include demand, supply, market equilibrium, international trade, production of goods under pure competition, monopoly, monopolistic competition, and oligopoly. The Louisiana Statewide Common Course Catalog name and number for this course are CECN 2223: Microeconomics.",CECN 2223,BPCC,,online,,Economics/Social Studies,Yes,,234
290,COMM,Pro Tools,3,This course provides an overview of digital audio technology and the conceptual design of analog to digital and digital to analog converters. Students examine the editing and constructing of digital sound samples from live sources. The use of the computer and digital recording and editing software as well as the basic elements of MIDI are covered. Students receive hands-on experience in a digital audio workstation environment. MUSC 290 and COMM 290 are cross-listed courses - only one of these designated courses will be accepted for credit.,,BPCC,,,,,,,195
290,COMM,Pro Tools,3,This course provides an overview of digital audio technology and the conceptual design of analog to digital and digital to analog converters. Students examine the editing and constructing of digital sound samples from live sources. The use of the computer and digital recording and editing software as well as the basic elements of MIDI are covered. Students receive hands-on experience in a digital audio workstation environment. MUSC 290 and COMM 290 are cross-listed courses - only one of these designated courses will be accepted for credit.,,BPCC,,online,,,,,195
102,CTEC,Prob Solving & Prog Techniques,3,This course is an introduction to program development using various problem solving techniques. Emphasis is placed on using algorithms and pseudocodes to design programs. Various control structures used in computer programming are also discussed.,,BPCC,,online,,,,,170
102,CTEC,Prob Solving & Prog Techniques ,3,This course is an introduction to program development using various problem solving techniques. Emphasis is placed on using algorithms and pseudocodes to design programs. Various control structures used in computer programming are also discussed.,,BPCC,,,,,,,170
102,CTEC,Prob Solving & Prog Techniques ,3,This course is an introduction to program development using various problem solving techniques. Emphasis is placed on using algorithms and pseudocodes to design programs. Various control structures used in computer programming are also discussed.,,BPCC,,,,,,,150
250,CTEC,Programming with C# ,3,This course introduces students to Design Patterns through the use of the C# programming language. Students will use Object Oriented Programming and Visual Studio to build flexible applications with graphical user interfaces.  Students will also learn common programming solutions that take advantage of polymorphism and inheritance in their design. ,,BPCC,,,,,,CTEC 151,170
250,CTEC,Programming with C# ,3,This course introduces students to Design Patterns through the use of the C# programming language. Students will use Object Oriented Programming and Visual Studio to build flexible applications with graphical user interfaces.  Students will also learn common programming solutions that take advantage of polymorphism and inheritance in their design. ,,BPCC,,online,,,,CTEC 151,170
110,SPCH,Public Speaking,3,The study and application of principles of public communication with emphasis on designing and delivering effective oral presentations. The Louisiana Statewide Common Course Catalog name and number for this course are CCOM 2013: Public Speaking.,CCOM 2013,BPCC,,online,,,Yes,,150
110,SPCH,Public Speaking ,3,The study and application of principles of public communication with emphasis on designing and delivering effective oral presentations. The Louisiana Statewide Common Course Catalog name and number for this course are CCOM 2013: Public Speaking.,CCOM 2013,BPCC,,On Campus,,,Yes,,150
207,SLGY,"Race, Class, & Ethnicity",3,"The study of subcultural differences between males and females and between various racial and ethnic groups, of the transmission of cultural differences from generation to generation, and of the perpetuation of class, gender, and racial differences. The Louisiana Statewide Common Course Catalog name and number for this course are CSOC 2413: Race, Class & Ethnicity.",CSOC 2413,BPCC,,online,,,Yes,,198
207,SLGY,"Race, Class, & Ethnicity",3,"The study of subcultural differences between males and females and between various racial and ethnic groups, of the transmission of cultural differences from generation to generation, and of the perpetuation of class, gender, and racial differences. The Louisiana Statewide Common Course Catalog name and number for this course are CSOC 2413: Race, Class & Ethnicity.",CSOC 2413,BPCC,,On Campus,,,Yes,,150
270,CTEC,Relational Database Coding,3,"This course covers the fundamentals of database management systems, in particular relational database systems. The course also teaches students how to use SQL to create, maintain, store, retrieve, and manipulate data.",,BPCC,,,,,,,150
202,HMAN,Renaissance-Modern Culture,3,"An interdisciplinary course including a study of the art, music, history, and literature of the world from the Renaissance to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIUM 2223: Humanities II.",CHIUM 2223,BPCC,,online,,,Yes,ENGL 101,194
100,CULA,Sanitation ,3,"Students will develop an understanding of the basic principles of sanitation and safety, explore the fundamentals of microbiology and the application to food and environmental sanitation. Students will be able to describe the origins of food-borne disease and the importance of utilizing proper sanitation and safety procedures. Course includes lecture, demonstration, and food preparation. Students receive a food safety certificate.",,BPCC,,,,,,,150
100,CULA,Sanitation ,3,"Students will develop an understanding of the basic principles of sanitation and safety, explore the fundamentals of microbiology and the application to food and environmental sanitation. Students will be able to describe the origins of food-borne disease and the importance of utilizing proper sanitation and safety procedures. Course includes lecture, demonstration, and food preparation. Students receive a food safety certificate.",,BPCC,,,,,,,150
107,CTEC,Skills for Information Technology (IT) Success,3,"This course is designed to help students examine and develop employability skills that are essential for success in the Information Technology (IT) field.  Students will explore topics such as communication, listening, teamwork, professional presence, personal responsibility, problem-solving, decision-making, and career planning.",,BPCC,,online,,,,,150
107,CTEC,Skills for Information Technology (IT) Success,3,"This course is designed to help students examine and develop employability skills that are essential for success in the Information Technology (IT) field.  Students will explore topics such as communication, listening, teamwork, professional presence, personal responsibility, problem-solving, decision-making, and career planning.",,BPCC,,,,,,,150
202,SLGY,Social Problems ,3,"Social problems of modern life with particular attention to crime and delinquency, substance abuse, family issues, health issues, and social reform. The Louisiana Statewide Common Course Catalog name and number for this course are CSOC 2113: Social Problems.",CSOC 2113,BPCC,,online,,,Yes,,150
115,CTEC,Software Applications,3,"The course includes intermediate techniques in integrated software applications such as word processing, electronic spreadsheet, database, and presentation software for non-CTEC majors.",,BPCC,,,,,,,295
115,CTEC,Software Applications,3,"The course includes intermediate techniques in integrated software applications such as word processing, electronic spreadsheet, database, and presentation software for non-CTEC majors.",,BPCC,,online,,,,,295
115,CTEC,Software Applications ,3,"The course includes intermediate techniques in integrated software applications such as word processing, electronic spreadsheet, database, and presentation software for non-CTEC majors.",,BPCC,,,,,,,150
295,CTEC,Software Development Process,3,"This course provides a comprehensive overview of the core elements of the software development process, including common software development methodologies, source control, refactoring, and testing. This course also includes programming projects where the students work in teams.",,BPCC,,,,,,,170
295,CTEC,Software Development Process,3,"This course provides a comprehensive overview of the core elements of the software development process, including common software development methodologies, source control, refactoring, and testing. This course also includes programming projects where the students work in teams.",,BPCC,,online,,,,,170
161,TEED,SolidWorks 3D ,3,"An advanced engineering course dealing with solid modeling. This course covers 3D drafting concepts and coordinate systems. Other topics include viewing, editing, dimensioning, and rendering objects.",,BPCC,,,,,,TEED 143,180
202,POSC,State and Local Government ,3,Principles of state and municipal organizations and administration with emphasis on government of Louisiana. The Louisiana Statewide Common Course Catalog name and number for this course are CPOL 2113: Intro to State and Local Government.,,BPCC,,online,,,,,150
202,POSC,State and Local Government ,3,Principles of state and municipal organizations and administration with emphasis on government of Louisiana. The Louisiana Statewide Common Course Catalog name and number for this course are CPOL 2113: Intro to State and Local Government.,,BPCC,,,,,,,150
101,WELD,Survey of Welding,3,"Covers welding safety, welding equipment setup, drawing and welding symbol interpretation, welding inspection and testing, thermal cutting processes, and welding principles and practices for shielded metal arc welding (SMAW), gas metal arc welding (GMAW), gas tungsten arc welding (GTAW), and flux-core arc welding (FCAW).",,BPCC,,,,,,READ 099 AND MATH 098,457
105,THTR,Theatre Lab Production,1,This course is designed to give practical experience in all areas of the art form to students interested in theatre production. Instruction is through the master/apprentice method. (May be repeated for credit.),,BPCC,,,,,,,50
112,MATH,Trigonometry,3,"Methods and theory of trigonometry including trigonometric functions, solution of right triangles, identities and trigonometric equations, graphs, inverse trigonometric functions, solution of oblique triangles, and complex numbers. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1223: Trigonometry.",CMAT 1223,BPCC,,online,,Math,Yes,MATH 102,250
112,MATH,Trigonometry ,3,"Methods and theory of trigonometry including trigonometric functions, solution of right triangles, identities and trigonometric equations, graphs, inverse trigonometric functions, solution of oblique triangles, and complex numbers. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1223: Trigonometry.",CMAT 1223,BPCC,,On Campus,,Math,Yes,MATH 102,250
202,COMM,Video Editing,3,This course includes historical editing techniques along with the introduction of Adobe Premier Pro.,,BPCC,,,,,,,195
201,COMM,Video Post Production ,3,"This course is designed for the development of post-production skills. It also includes opportunities in developing, directing, and producing video programming.",,BPCC,,,,,,COMM 202,195
149,CTEC,Web Scripting I ,3,"This course has been designed to teach students how to use the features of the JavaScript language to design client-side, platform-independent interactivity on Web pages. Students will understand and use the most popular applications of JavaScript to communicate with users, modify the Document Object Model (DOM), validate forms, animate images, create cookies, change HTML on the fly, and communicate with databases. In addition, this class will help students gain the skills required for the internationally recognized CIW JavaScript Specialist certification exam. This certificate is one of the certificates required to earn the advanced CIW Web Development Professional certification and is optional at the conclusion of the course.",,BPCC,,online,,,,CTEC 130,150
101,HIST,Western Civilization I ,3,A survey of European civilization from pre-historic man to the 1500s. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1013: Western Civilizaton I.,CHIS 1013,BPCC,,online,,History/Social Studies,Yes,,190
101,HIST,Western Civilization I ,3,A survey of European civilization from pre-historic man to the 1500s. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1013: Western Civilizaton I.,CHIS 1013,BPCC,,On Campus,,History/Social Studies,Yes,,190
102,HIST,Western Civilization II,3,A survey of European civilization from the 1500s to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1023: Western Civilization II.,CHIS 1023,BPCC,,On Campus,,,Yes,,190
102,HIST,Western Civilization II ,3,A survey of European civilization from the 1500s to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1023: Western Civilization II.,CHIS 1023,BPCC,,online,,,Yes,,190
103,HIST,World Civilization I ,3,A survey of civilizations from prehistoric man to the 17th Century. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1113: World Civilization I.,CHIS 1113,BPCC,,online,,History/ Social Studies,Yes,,150
103,HIST,World Civilization I ,3,A survey of civilizations from prehistoric man to the 17th Century. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1113: World Civilization I.,CHIS 1113,BPCC,,On Campus,,History/ Social Studies,Yes,,150
104,HIST,World Civilization II ,3,A survey of European Civilization from 1600 to the present. The Louisiana Statewide Common Course Catalog name and number for this course are CHIS 1123: World Civilization II.,CHIS 1123,BPCC,,On Campus,,History/ Social Studies,Yes,,150
203,RLGN,World Religions,3,"Survey of the major religions throughout world history. Emphasis on the texts, leaders, and traditions of each religion. The Louisiana Statewide Common Course Catalog name and number for this course are CPHL 2213: World Religions.",CPHL 2213,BPCC,,On Campus,,History/ Social Studies,Yes,,150